title	major_group	minor_group	broad_group	detailed_occupation
Tailors, Dressmakers, and Custom Sewers (51-6052.00)	Production Occupations (51-0000)	Textile, Apparel, and Furnishings Workers (51-6000)	Tailors, Dressmakers, and Sewers (51-6050)	Tailors, Dressmakers, and Custom Sewers (51-6052)
Textile Bleaching and Dyeing Machine Operators and Tenders (51-6061.00)	Production Occupations (51-0000)	Textile, Apparel, and Furnishings Workers (51-6000)	Textile Machine Setters, Operators, and Tenders (51-6060)	Textile Bleaching and Dyeing Machine Operators and Tenders (51-6061)
Textile Cutting Machine Setters, Operators, and Tenders (51-6062.00)	Production Occupations (51-0000)	Textile, Apparel, and Furnishings Workers (51-6000)	Textile Machine Setters, Operators, and Tenders (51-6060)	Textile Cutting Machine Setters, Operators, and Tenders (51-6062)
Textile Knitting and Weaving Machine Setters, Operators, and Tenders (51-6063.00)	Production Occupations (51-0000)	Textile, Apparel, and Furnishings Workers (51-6000)	Textile Machine Setters, Operators, and Tenders (51-6060)	Textile Knitting and Weaving Machine Setters, Operators, and Tenders (51-6063)
Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders (51-6064.00)	Production Occupations (51-0000)	Textile, Apparel, and Furnishings Workers (51-6000)	Textile Machine Setters, Operators, and Tenders (51-6060)	Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders (51-6064)
Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers (51-6091.00)	Production Occupations (51-0000)	Textile, Apparel, and Furnishings Workers (51-6000)	Miscellaneous Textile, Apparel, and Furnishings Workers (51-6090)	Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers (51-6091)
Fabric and Apparel Patternmakers (51-6092.00)	Production Occupations (51-0000)	Textile, Apparel, and Furnishings Workers (51-6000)	Miscellaneous Textile, Apparel, and Furnishings Workers (51-6090)	Fabric and Apparel Patternmakers (51-6092)
Upholsterers (51-6093.00)	Production Occupations (51-0000)	Textile, Apparel, and Furnishings Workers (51-6000)	Miscellaneous Textile, Apparel, and Furnishings Workers (51-6090)	Upholsterers (51-6093)
Textile, Apparel, and Furnishings Workers, All Other (51-6099.00)	Production Occupations (51-0000)	Textile, Apparel, and Furnishings Workers (51-6000)	Miscellaneous Textile, Apparel, and Furnishings Workers (51-6090)	Textile, Apparel, and Furnishings Workers, All Other (51-6099)
Cabinetmakers and Bench Carpenters (51-7011.00)	Production Occupations (51-0000)	Woodworkers (51-7000)	Cabinetmakers and Bench Carpenters (51-7010)	Cabinetmakers and Bench Carpenters (51-7011)
Furniture Finishers (51-7021.00)	Production Occupations (51-0000)	Woodworkers (51-7000)	Furniture Finishers (51-7020)	Furniture Finishers (51-7021)
Model Makers, Wood (51-7031.00)	Production Occupations (51-0000)	Woodworkers (51-7000)	Model Makers and Patternmakers, Wood (51-7030)	Model Makers, Wood (51-7031)
Patternmakers, Wood (51-7032.00)	Production Occupations (51-0000)	Woodworkers (51-7000)	Model Makers and Patternmakers, Wood (51-7030)	Patternmakers, Wood (51-7032)
Sawing Machine Setters, Operators, and Tenders, Wood (51-7041.00)	Production Occupations (51-0000)	Woodworkers (51-7000)	Woodworking Machine Setters, Operators, and Tenders (51-7040)	Sawing Machine Setters, Operators, and Tenders, Wood (51-7041)
Woodworking Machine Setters, Operators, and Tenders, Except Sawing (51-7042.00)	Production Occupations (51-0000)	Woodworkers (51-7000)	Woodworking Machine Setters, Operators, and Tenders (51-7040)	Woodworking Machine Setters, Operators, and Tenders, Except Sawing (51-7042)
Woodworkers, All Other (51-7099.00)	Production Occupations (51-0000)	Woodworkers (51-7000)	Miscellaneous Woodworkers (51-7090)	Woodworkers, All Other (51-7099)
Nuclear Power Reactor Operators (51-8011.00)	Production Occupations (51-0000)	Plant and System Operators (51-8000)	Power Plant Operators, Distributors, and Dispatchers (51-8010)	Nuclear Power Reactor Operators (51-8011)
Power Distributors and Dispatchers (51-8012.00)	Production Occupations (51-0000)	Plant and System Operators (51-8000)	Power Plant Operators, Distributors, and Dispatchers (51-8010)	Power Distributors and Dispatchers (51-8012)
Power Plant Operators (51-8013.00)	Production Occupations (51-0000)	Plant and System Operators (51-8000)	Power Plant Operators, Distributors, and Dispatchers (51-8010)	Power Plant Operators (51-8013)
Stationary Engineers and Boiler Operators (51-8021.00)	Production Occupations (51-0000)	Plant and System Operators (51-8000)	Stationary Engineers and Boiler Operators (51-8020)	Stationary Engineers and Boiler Operators (51-8021)
Water and Wastewater Treatment Plant and System Operators (51-8031.00)	Production Occupations (51-0000)	Plant and System Operators (51-8000)	Water and Wastewater Treatment Plant and System Operators (51-8030)	Water and Wastewater Treatment Plant and System Operators (51-8031)
Chemical Plant and System Operators (51-8091.00)	Production Occupations (51-0000)	Plant and System Operators (51-8000)	Miscellaneous Plant and System Operators (51-8090)	Chemical Plant and System Operators (51-8091)
Gas Plant Operators (51-8092.00)	Production Occupations (51-0000)	Plant and System Operators (51-8000)	Miscellaneous Plant and System Operators (51-8090)	Gas Plant Operators (51-8092)
Petroleum Pump System Operators, Refinery Operators, and Gaugers (51-8093.00)	Production Occupations (51-0000)	Plant and System Operators (51-8000)	Miscellaneous Plant and System Operators (51-8090)	Petroleum Pump System Operators, Refinery Operators, and Gaugers (51-8093)
Plant and System Operators, All Other (51-8099.00)	Production Occupations (51-0000)	Plant and System Operators (51-8000)	Miscellaneous Plant and System Operators (51-8090)	Plant and System Operators, All Other (51-8099)
Biofuels Processing Technicians (51-8099.01)	Production Occupations (51-0000)	Plant and System Operators (51-8000)	Miscellaneous Plant and System Operators (51-8090)	Plant and System Operators, All Other (51-8099)
Methane/Landfill Gas Generation System Technicians (51-8099.02)	Production Occupations (51-0000)	Plant and System Operators (51-8000)	Miscellaneous Plant and System Operators (51-8090)	Plant and System Operators, All Other (51-8099)
Biomass Plant Technicians (51-8099.03)	Production Occupations (51-0000)	Plant and System Operators (51-8000)	Miscellaneous Plant and System Operators (51-8090)	Plant and System Operators, All Other (51-8099)
Hydroelectric Plant Technicians (51-8099.04)	Production Occupations (51-0000)	Plant and System Operators (51-8000)	Miscellaneous Plant and System Operators (51-8090)	Plant and System Operators, All Other (51-8099)
Chemical Equipment Operators and Tenders (51-9011.00)	Production Occupations (51-0000)	Other Production Occupations (51-9000)	Chemical Processing Machine Setters, Operators, and Tenders (51-9010)	Chemical Equipment Operators and Tenders (51-9011)
Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders (51-9012.00)	Production Occupations (51-0000)	Other Production Occupations (51-9000)	Chemical Processing Machine Setters, Operators, and Tenders (51-9010)	Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders (51-9012)
Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders (51-9021.00)	Production Occupations (51-0000)	Other Production Occupations (51-9000)	Crushing, Grinding, Polishing, Mixing, and Blending Workers (51-9020)	Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders (51-9021)
Grinding and Polishing Workers, Hand (51-9022.00)	Production Occupations (51-0000)	Other Production Occupations (51-9000)	Crushing, Grinding, Polishing, Mixing, and Blending Workers (51-9020)	Grinding and Polishing Workers, Hand (51-9022)
Mixing and Blending Machine Setters, Operators, and Tenders (51-9023.00)	Production Occupations (51-0000)	Other Production Occupations (51-9000)	Crushing, Grinding, Polishing, Mixing, and Blending Workers (51-9020)	Mixing and Blending Machine Setters, Operators, and Tenders (51-9023)
Cutters and Trimmers, Hand (51-9031.00)	Production Occupations (51-0000)	Other Production Occupations (51-9000)	Cutting Workers (51-9030)	Cutters and Trimmers, Hand (51-9031)
Cutting and Slicing Machine Setters, Operators, and Tenders (51-9032.00)	Production Occupations (51-0000)	Other Production Occupations (51-9000)	Cutting Workers (51-9030)	Cutting and Slicing Machine Setters, Operators, and Tenders (51-9032)
Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders (51-9041.00)	Production Occupations (51-0000)	Other Production Occupations (51-9000)	Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders (51-9040)	Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders (51-9041)
Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders (51-9051.00)	Production Occupations (51-0000)	Other Production Occupations (51-9000)	Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders (51-9050)	Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders (51-9051)
Inspectors, Testers, Sorters, Samplers, and Weighers (51-9061.00)	Production Occupations (51-0000)	Other Production Occupations (51-9000)	Inspectors, Testers, Sorters, Samplers, and Weighers (51-9060)	Inspectors, Testers, Sorters, Samplers, and Weighers (51-9061)
Jewelers and Precious Stone and Metal Workers (51-9071.00)	Production Occupations (51-0000)	Other Production Occupations (51-9000)	Jewelers and Precious Stone and Metal Workers (51-9070)	Jewelers and Precious Stone and Metal Workers (51-9071)
Jewelers (51-9071.01)	Production Occupations (51-0000)	Other Production Occupations (51-9000)	Jewelers and Precious Stone and Metal Workers (51-9070)	Jewelers and Precious Stone and Metal Workers (51-9071)
Gem and Diamond Workers (51-9071.06)	Production Occupations (51-0000)	Other Production Occupations (51-9000)	Jewelers and Precious Stone and Metal Workers (51-9070)	Jewelers and Precious Stone and Metal Workers (51-9071)
Precious Metal Workers (51-9071.07)	Production Occupations (51-0000)	Other Production Occupations (51-9000)	Jewelers and Precious Stone and Metal Workers (51-9070)	Jewelers and Precious Stone and Metal Workers (51-9071)
Dental Laboratory Technicians (51-9081.00)	Production Occupations (51-0000)	Other Production Occupations (51-9000)	Medical, Dental, and Ophthalmic Laboratory Technicians (51-9080)	Dental Laboratory Technicians (51-9081)
Medical Appliance Technicians (51-9082.00)	Production Occupations (51-0000)	Other Production Occupations (51-9000)	Medical, Dental, and Ophthalmic Laboratory Technicians (51-9080)	Medical Appliance Technicians (51-9082)
Ophthalmic Laboratory Technicians (51-9083.00)	Production Occupations (51-0000)	Other Production Occupations (51-9000)	Medical, Dental, and Ophthalmic Laboratory Technicians (51-9080)	Ophthalmic Laboratory Technicians (51-9083)
Packaging and Filling Machine Operators and Tenders (51-9111.00)	Production Occupations (51-0000)	Other Production Occupations (51-9000)	Packaging and Filling Machine Operators and Tenders (51-9110)	Packaging and Filling Machine Operators and Tenders (51-9111)
Coating, Painting, and Spraying Machine Setters, Operators, and Tenders (51-9121.00)	Production Occupations (51-0000)	Other Production Occupations (51-9000)	Painting Workers (51-9120)	Coating, Painting, and Spraying Machine Setters, Operators, and Tenders (51-9121)
Painters, Transportation Equipment (51-9122.00)	Production Occupations (51-0000)	Other Production Occupations (51-9000)	Painting Workers (51-9120)	Painters, Transportation Equipment (51-9122)
Painting, Coating, and Decorating Workers (51-9123.00)	Production Occupations (51-0000)	Other Production Occupations (51-9000)	Painting Workers (51-9120)	Painting, Coating, and Decorating Workers (51-9123)
Semiconductor Processors (51-9141.00)	Production Occupations (51-0000)	Other Production Occupations (51-9000)	Semiconductor Processors (51-9140)	Semiconductor Processors (51-9141)
Photographic Process Workers and Processing Machine Operators (51-9151.00)	Production Occupations (51-0000)	Other Production Occupations (51-9000)	Photographic Process Workers and Processing Machine Operators (51-9150)	Photographic Process Workers and Processing Machine Operators (51-9151)
Adhesive Bonding Machine Operators and Tenders (51-9191.00)	Production Occupations (51-0000)	Other Production Occupations (51-9000)	Miscellaneous Production Workers (51-9190)	Adhesive Bonding Machine Operators and Tenders (51-9191)
Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders (51-9192.00)	Production Occupations (51-0000)	Other Production Occupations (51-9000)	Miscellaneous Production Workers (51-9190)	Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders (51-9192)
Cooling and Freezing Equipment Operators and Tenders (51-9193.00)	Production Occupations (51-0000)	Other Production Occupations (51-9000)	Miscellaneous Production Workers (51-9190)	Cooling and Freezing Equipment Operators and Tenders (51-9193)
Etchers and Engravers (51-9194.00)	Production Occupations (51-0000)	Other Production Occupations (51-9000)	Miscellaneous Production Workers (51-9190)	Etchers and Engravers (51-9194)
Molders, Shapers, and Casters, Except Metal and Plastic (51-9195.00)	Production Occupations (51-0000)	Other Production Occupations (51-9000)	Miscellaneous Production Workers (51-9190)	Molders, Shapers, and Casters, Except Metal and Plastic (51-9195)
Stone Cutters and Carvers, Manufacturing (51-9195.03)	Production Occupations (51-0000)	Other Production Occupations (51-9000)	Miscellaneous Production Workers (51-9190)	Molders, Shapers, and Casters, Except Metal and Plastic (51-9195)
Glass Blowers, Molders, Benders, and Finishers (51-9195.04)	Production Occupations (51-0000)	Other Production Occupations (51-9000)	Miscellaneous Production Workers (51-9190)	Molders, Shapers, and Casters, Except Metal and Plastic (51-9195)
